"Duration__in_seconds_","ResponseId","interviewer_id","study_area_sa","test_survey","surv_taker","quota_age_","quota_gender","quota_age_SNIS","quota_educ_ZA","quota_edu_GH","quota_edu_IN","quota_edu_ID","informed_perception","perception_current","perception_past","perception_spatial","concern_gen","concern_second_perso","concern_second_gov","quota_gender.0","quota_education","hh_inc_ZA","hh_inc_Jak","hh_inc_Acc","hh_inc_Del","attn_check_pt","trust_loc_gov","trust_nat_gov","trust_bus_ind","trust_citizens","trust_experts","trust_ios","trust_ranking","trust_ranking_slider","trust_city_cap","trust_city_commit","trust_city_citizen","gen_social_trust","attn_check_other","envir_tradeoff","pre_treat_trust","trust_support_base","lgov_support","lgov_implementation","lgov_fairness","lgov_coordination","lgov_accountability","bigco_support","bigco_implementation","bigco_fairness","bigco_coordination","bigco_accountability","smallco_support","smallco_implement","smallco_fairness","smallco_coordination","smallco_accountab","manipul_check_trust","follow_up_probe_break_promises","follow_up_probe_capacity","follow_up_probe_not_willing","follow_up_probe_compliance","trust_traitor","trust_bad_compromise","trust_actor_reward_loc_gov","trust_actor_reward_experts","trust_actor_reward_ios","trust_actor_reward_citizens","trust_actor_reward_business","trust_actor_reward_none","trust_actor_punish_loc_gov","trust_actor_punish_experts","trust_actor_punish_ios","trust_actor_punish_citizens","trust_actor_punish_business","trust_actor_punish_none","difficulty_1","comments","date_survey","surv_city","display","RespID","trust_actors_treat_assign","del_split","jak_split","end_flag","quota_female_male","attn_fail_other","attn_fail_pt","attn_fail_time","attn_drop","attn_drop_reason","date","video_understand","potential_drop","age","gender","income","edu"
1666,"R_7cItlrFVQ5rrdbt",32,108,2,2,2,NA,NA,NA,NA,NA,NA,4,3,4,4,3,3,3,2,3,2,NA,NA,NA,1,1,1,1,1,1,5,NA,2,NA,NA,NA,3,NA,1,2,3,5,5,5,5,5,NA,NA,NA,NA,NA,5,5,5,5,5,1,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","joh_person","","R1NYQ","local_gov_small_coalition","","","complete","","","","",NA,NA,"2025-01-16",5,0,2,2,2,3
2301,"R_gav1iwwK3ieWSJS",26,108,2,1,1,NA,NA,NA,NA,NA,NA,1,2,2,1,3,3,3,2,3,7,NA,NA,NA,1,2,2,1,2,1,4,NA,4,NA,NA,NA,3,NA,1,2,5,5,5,5,5,1,5,5,5,5,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I think the survey is something good","","joh_person","","YVII5","local_gov_big_coalition","","","complete","","","","",NA,NA,"2025-01-16",5,0,1,2,7,3
1874,"R_0ragfBln2o94oFB",13,108,NA,2,2,NA,NA,NA,NA,NA,NA,4,4,2,4,2,2,1,1,4,2,NA,NA,NA,1,1,1,2,2,1,2,NA,2,NA,NA,NA,2,NA,1,1,4,5,1,1,1,5,NA,NA,NA,NA,NA,5,1,1,1,5,3,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"You must make sure that you work to reduce air pollution.","","joh_person","","MFO79","local_gov_small_coalition","","","complete","","","","",NA,NA,"2025-01-16",5,0,2,1,2,4
3034,"R_jVIT9g688TTj7u4",21,108,2,1,2,NA,NA,NA,NA,NA,NA,1,1,1,4,4,4,4,1,4,8,NA,NA,NA,2,3,4,4,4,4,4,NA,3,NA,NA,NA,2,NA,1,1,3,NA,NA,NA,NA,NA,4,4,2,5,5,2,2,4,5,3,4,NA,NA,NA,NA,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"My tshivenda languages is not recognized. Worse is a president s languages","","joh_person","","I74BC","small_coalition_big_coalition","","","complete","","","","",NA,NA,"2025-01-16",2,0,2,1,8,4
1926,"R_kVRdo1dozYCmBK1",25,108,2,2,3,NA,NA,NA,NA,NA,NA,3,3,4,4,2,2,2,1,4,-99,NA,NA,NA,1,4,4,4,4,3,4,NA,3,NA,NA,NA,4,NA,1,2,4,NA,NA,NA,NA,NA,5,4,5,4,4,5,4,3,4,3,1,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","joh_person","","C18FA","small_coalition_big_coalition","","","complete","","","","",NA,NA,"2025-01-16",5,0,3,1,-99,4
1998,"R_a2UNNFgko8V1UVX",2,108,2,2,2,NA,NA,NA,NA,NA,NA,4,2,3,1,4,4,1,1,3,4,NA,NA,NA,1,4,4,3,4,4,5,NA,3,NA,NA,NA,3,NA,1,2,5,5,5,5,5,5,NA,NA,NA,NA,NA,5,5,5,5,5,1,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"It's good it just the government must work on this thing","","joh_person","","2QHOF","local_gov_small_coalition","","","complete","","","","",NA,NA,"2025-01-16",5,0,2,1,4,3
2680,"R_jxGsmCEzXRd1u6T",28,109,NA,1,3,NA,NA,NA,NA,NA,NA,5,2,3,1,3,2,1,2,4,8,NA,NA,NA,1,2,1,3,2,3,2,NA,4,NA,NA,NA,3,NA,2,2,5,5,5,5,3,2,5,5,5,2,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"It's a good survey.","","joh_person","","H2GOQ","local_gov_big_coalition","","","complete","","","","",NA,NA,"2025-01-16",5,0,3,2,8,4
2231,"R_2iAG5mAAusjnOeU",NA,108,2,2,3,NA,NA,NA,NA,NA,NA,4,2,3,4,3,2,3,2,3,2,NA,NA,NA,1,5,5,5,5,5,5,NA,4,NA,NA,NA,5,NA,2,2,5,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,3,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","joh_person","","2NWE2","small_coalition_big_coalition","","","complete","","","","",NA,NA,"2025-01-16",5,0,3,2,2,3
1895,"R_84h1nHKgV9uxiKK",26,108,2,1,1,NA,NA,NA,NA,NA,NA,2,1,3,3,3,3,3,2,3,3,NA,NA,NA,1,1,1,1,5,1,1,NA,2,NA,NA,NA,1,NA,1,2,5,NA,NA,NA,NA,NA,5,5,5,5,1,5,5,5,5,1,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","joh_person","","SGRE6","small_coalition_big_coalition","","","complete","","","","",NA,NA,"2025-01-16",1,0,1,2,3,3
2152,"R_oQ7qxQ5btTcB6Po",1,104,2,1,1,NA,NA,NA,NA,NA,NA,4,2,2,4,3,1,2,2,4,7,NA,NA,NA,1,2,2,2,2,4,4,NA,2,NA,NA,NA,2,NA,2,2,4,NA,NA,NA,NA,NA,4,3,4,4,4,5,4,4,4,4,1,NA,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","joh_person","","JP7UL","small_coalition_big_coalition","","","complete","","","","",NA,NA,"2025-01-16",4,0,1,2,7,4
